Version = 2.0
Id,Category,DM Address,Name,PLCNo,40000,ModbusAddress,AlgoNo,Length,DataType,BitNo,UseEngUnit,Offset,Span,Monitor,Control,Direction,IOType,EnableTraceLog,Description,Remark,,,,,,,,
1,System Data,D10000.0,CD_COM_PULSE_PLC1,1,0,40000,0,1,Bit,0,0,0,0,0,1,PLC->IPC,None,,"PLC?IPC Heartbeat Signal. Every 1 second, send a signal of 0?1/1?0","Received by polling every 1 second / If there is no change for 3 seconds, it is considered an abnormality",,,,,,,,
2,System Data,D10004,System Data A1,1,4,40004,0,1,UInt16,0,0,0,0,0,1,PLC->IPC,None,,"PLC_ data. Store year data in UINT format (e.g., 2025,2026)",Receive by polling every 5 seconds and store each data,,,,,,,,
3,System Data,D10005,System Data A2,1,5,40005,0,1,UInt16,0,0,0,0,0,1,PLC->IPC,None,,"PLC_ Month Data. Store monthly data in UINT format (e.g., 1~12)",Receive by polling every 5 seconds and store each data,,,,,,,,
4,System Data,D10006,System Data A3,1,6,40006,0,1,UInt16,0,0,0,0,0,1,PLC->IPC,None,,"PLC_ day data. Store day data in UINT format (e.g., 1~31)",Receive by polling every 5 seconds and store each data,,,,,,,,
5,System Data,D10007,System Data A4,1,7,40007,0,1,UInt16,0,0,0,0,0,1,PLC->IPC,None,,"PLC_ time data. Store time data in UINT format (e.g., 0~24)",Receive by polling every 5 seconds and store each data,,,,,,,,
6,System Data,D10008,System Data A5,1,8,40008,0,1,UInt16,0,0,0,0,0,1,PLC->IPC,None,,"PLC_ minutes data. Store minute data in UINT format (e.g., 0~59)",Receive by polling every 5 seconds and store each data,,,,,,,,
7,System Data,D10009,System Data A6,1,9,40009,0,1,UInt16,0,0,0,0,0,1,PLC->IPC,None,,"PLC_ second data. Store second data in UINT format (e.g., 0~59)",Receive by polling every 5 seconds and store each data,,,,,,,,
8,System Data,D10015.0,CD_COM_PULSE_IPC1,1,15,40015,0,1,Bit,0,0,0,0,0,1,IPC->PLC,None,,"IPC?PLC Heartbeat Signal. Every 1 second, send a signal of 0?1/1?0","If there is no change for 3 seconds at the scan time, it is considered abnormal.",,,,,,,,
9,System Data,D10015.1,System Data B1,1,15,40015,0,1,Bit,1,0,0,0,0,1,IPC->PLC,None,,"Time change signal. When time storage is complete, set it to 0?1.",Always see a 0 or 1 change at scan time,,,,,,,,
10,System Data,D10019,System Data B2,1,19,40019,0,1,UInt16,0,0,0,0,0,1,IPC->PLC,None,,"Yearly Data. Store year data in UINT format (e.g., 2025,2026)","When the time storage completion signal reaches 0?1, check the IN data on the PLC",,,,,,,,
11,System Data,D10020,System Data B3,1,20,40020,0,1,UInt16,0,0,0,0,0,1,IPC->PLC,None,,"Monthly data. Store monthly data in UINT format (e.g., 1~12)","When the time storage completion signal reaches 0?1, check the IN data on the PLC",,,,,,,,
12,System Data,D10021,System Data B4,1,21,40021,0,1,UInt16,0,0,0,0,0,1,IPC->PLC,None,,"Daily Data. Store day data in UINT format (e.g., 1~31)","When the time storage completion signal reaches 0?1, check the IN data on the PLC.",,,,,,,,
13,System Data,D10022,System Data B5,1,22,40022,0,1,UInt16,0,0,0,0,0,1,IPC->PLC,None,,"Time Data. Store time data in UINT format (e.g., 0~24)","When the time storage completion signal reaches 0?1, check the IN data on the PLC.",,,,,,,,
14,System Data,D10023,System Data B6,1,23,40023,0,1,UInt16,0,0,0,0,0,1,IPC->PLC,None,,"Minute Data. Store minute data in UINT format (e.g., 0~59)","When the time storage completion signal reaches 0?1, check the IN data on the PLC.",,,,,,,,
