Id,TagNo,Name,PLCNo,ModbusAddress,Length,AlgoNo,DataType,BitNo,Offset,Span,Description,Remark,CanWrite
386,386,"IO_INPUT1",1,40250,1,1,1,0,0,1,"Inputs1","",True
387,387,"IO_INPUT2",1,40250,1,1,3,1,0,1,"Inputs2","",True
388,388,"IO_INPUT3",1,40250,1,1,3,2,0,1,"Inputs3","",True
389,389,"IO_INPUT4",1,40250,1,1,3,3,0,1,"Inputs4","",True
390,390,"IO_INPUT5",1,40250,1,0,3,4,0,1,"Inputs5","",False
391,391,"IO_INPUT6",1,40250,1,0,3,5,0,1,"Inputs6","",False
392,392,"IO_INPUT7",1,40250,1,0,3,6,0,1,"Inputs7","",False
393,393,"IO_INPUT8",1,40250,1,0,3,7,0,1,"Inputs8","",False
394,394,"IO_INPUT9",1,40250,1,0,3,8,0,1,"Inputs9","",False
395,395,"IO_INPUT10",1,40250,1,0,3,9,0,1,"Inputs10","",False
396,396,"IO_INPUT11",1,40250,1,0,3,10,0,1,"Inputs11","",False
397,397,"IO_INPUT12",1,40250,1,0,3,11,0,1,"Inputs12","",False
398,398,"IO_INPUT13",1,40250,1,0,3,12,0,1,"Inputs13","",False
399,399,"IO_INPUT14",1,40250,1,0,3,13,0,1,"Inputs14","",False
400,400,"IO_INPUT15",1,40250,1,0,3,14,0,1,"Inputs15","",False
401,401,"IO_INPUT16",1,40250,1,0,3,15,0,1,"Inputs16","",False
402,402,"IO_INPUT17",1,40251,1,0,3,0,0,1,"Inputs17","",False
403,403,"IO_INPUT18",1,40251,1,0,3,1,0,1,"Inputs18","",False
404,404,"IO_INPUT19",1,40251,1,0,3,2,0,1,"Inputs19","",False
405,405,"IO_INPUT20",1,40251,1,0,3,3,0,1,"Inputs20","",False
406,406,"IO_INPUT21",1,40251,1,0,3,4,0,1,"Inputs21","",False
407,407,"IO_INPUT22",1,40251,1,0,3,5,0,1,"Inputs22","",False
408,408,"IO_INPUT23",1,40251,1,0,3,6,0,1,"Inputs23","",False
409,409,"IO_INPUT24",1,40251,1,0,3,7,0,1,"Inputs24","",False
410,410,"IO_INPUT25",1,40251,1,0,3,8,0,1,"Inputs25","",False
411,411,"IO_INPUT26",1,40251,1,0,3,9,0,1,"Inputs26","",False
412,412,"IO_INPUT27",1,40251,1,0,3,10,0,1,"Inputs27","",False
413,413,"IO_INPUT28",1,40251,1,0,3,11,0,1,"Inputs28","",False
414,414,"IO_INPUT29",1,40251,1,0,3,12,0,1,"Inputs29","",False
415,415,"IO_INPUT30",1,40251,1,0,3,13,0,1,"Inputs30","",False
416,416,"IO_INPUT31",1,40251,1,0,3,14,0,1,"Inputs31","",False
417,417,"IO_INPUT32",1,40251,1,0,3,15,0,1,"Inputs32","",False
418,418,"IO_INPUT33",1,40252,1,0,3,0,0,1,"Inputs33","",False
419,419,"IO_INPUT34",1,40252,1,0,3,1,0,1,"Inputs34","",False
420,420,"IO_INPUT35",1,40252,1,0,3,2,0,1,"Inputs35","",False
421,421,"IO_INPUT36",1,40252,1,0,3,3,0,1,"Inputs36","",False
422,422,"IO_INPUT37",1,40252,1,0,3,4,0,1,"Inputs37","",False
423,423,"IO_INPUT38",1,40252,1,0,3,5,0,1,"Inputs38","",False
424,424,"IO_INPUT39",1,40252,1,0,3,6,0,1,"Inputs39","",False
425,425,"IO_INPUT40",1,40252,1,0,3,7,0,1,"Inputs40","",False
426,426,"IO_INPUT41",1,40252,1,0,3,8,0,1,"Inputs41","",False
427,427,"IO_INPUT42",1,40252,1,0,3,9,0,1,"Inputs42","",False
428,428,"IO_INPUT43",1,40252,1,0,3,10,0,1,"Inputs43","",False
429,429,"IO_INPUT44",1,40252,1,0,3,11,0,1,"Inputs44","",False
430,430,"IO_INPUT45",1,40252,1,0,3,12,0,1,"Inputs45","",False
431,431,"IO_INPUT46",1,40252,1,0,3,13,0,1,"Inputs46","",False
432,432,"IO_INPUT47",1,40252,1,0,3,14,0,1,"Inputs47","",False
433,433,"IO_INPUT48",1,40252,1,0,3,15,0,1,"Inputs48","",False
434,434,"IO_INPUT49",1,40253,1,0,3,0,0,1,"Inputs49","",False
435,435,"IO_INPUT50",1,40253,1,0,3,1,0,1,"Inputs50","",False
436,436,"IO_INPUT51",1,40253,1,0,3,2,0,1,"Inputs51","",False
437,437,"IO_INPUT52",1,40253,1,0,3,3,0,1,"Inputs52","",False
438,438,"IO_INPUT53",1,40253,1,0,3,4,0,1,"Inputs53","",False
